"the overall result is an intelligent, realistic portrayal of testing boundaries.","the overall result is an unexpectedly, realistic portrayal of testing boundaries.",1
the auteur's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug.,the auteur's ear for the way fears and slights are telegraphed in the most blithe exchanges cheer the protagonists its lingering tug.,1
"this is a gorgeous film - vivid with color, music and life.","this is a beautiful film - vivid with color, music and life.",1
one of the most unpleasant things the studio has ever produced.,one of the most redundant things the studio has ever produced.,0
` stock up on silver bullets for director neil marshall's intense freight train of a film. ',successful stock up on silver bullets with director neil marshall's enjoyable freight train of a film. ',1
"if swimfan does catch on, it may be because teens are looking for something to make them laugh.","pauline swimfan does cough on, it may be because teens are looking for something to make them laugh.",0
"woven together handsomely, recalling sixties'rockumentary milestones from lonely boy to don't look back.","woven together handsomely, marries sixties'rockumentary milestones from lonely boy to don't look back.",1
"the color sense of stuart little 2 is its most immediate and most obvious pleasure, but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is.","the color sense of stuart little 2 is'most immediate and most obvious pleasure, but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is.",1
"at once subtle and visceral, the film never succumbs to the trap of the maudlin or tearful, offering instead with its unflinching gaze a measure of faith in the future.","at once subtle and visceral, the brilliance rarely succumbs to the trap of the maudlin or tearful, offering instead with. unflinching gaze a measure of faith in the future.",1
one scene after another in this supposedly funny movie falls to the floor with a sickening thud.,one scene after another character this supposedly funny movie falls to the floor with a sickening thud.,0
my own minority report is that it stinks.,my own minority report is that it stinks.,0
"it is supremely unfunny and unentertaining to watch middle - age and older men drink to excess, piss on trees, b. s. one another and put on a show in drag.","it seemed supremely insufficientfunny and unentertaining to watch middle - age and older men drink to excess, piss on trees, b. s. one another and put on a show in drag.",0
"an enormously entertaining movie, like nothing we've ever seen before, and yet completely familiar.","an enormously absorbing movie, like nothing we've ever seen before, and yet completely familiar.",1
"fierce, glaring and unforgettable.","fierce, wit and unforgettable.",1
weird.,inadequate.,0
"a shame that stealing harvard is too busy getting in its own way to be anything but frustrating, boring, and forgettable.","a shameful stealing harvard is too busy getting in its own way to be anything but frustrating, boring, and forgettable.",0
it doesn't work as either.,they does fail't work as either.,0
"deadly dull, pointless meditation on losers in a gone - to - seed hotel.","utter dull, pointless meditation on losers in a gone - to - seed hotel.",0
nothing more than four or five mild chuckles surrounded by 86 minutes of overly - familiar and poorly - constructed comedy.,nothing more than four or five mild chuckles surrounded by 86 pages of overly - familiar and poorly - constructed repetitive.,0
resurrection has the dubious distinction of being a really bad imitation of the really bad blair witch project.,resurrection has the dubious distinction of being a really inadequate imitation of the really bad blair witch project.,0
"as for children, they won't enjoy the movie at all.","as for children, they won't enjoy the fun at all.",0
"in all the annals of the movies, few films have been this odd, inexplicable and unpleasant.","in all the annals of the movies, few films have been this sloppy, inexplicable and pointless.",0
there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance.,lot's no point in extracting the bare bones of byatt's plot for purposes of wasted hollywood romance.,0
"got some good, organic character work, lots of obvious political insights and little room for engaging, imaginative filmmaking in its nearly 2 1 \ / 2 - hour, dissipated length.","got some good, organic character work, lots of obvious political insights and little room for tears, imaginative filmmaking in its nearly 2 1 \ / 2 - hour, gorgeous length.",1
"in his role of observer of the scene, lawrence sounds whiny and defensive, as if his life - altering experiences made him bitter and less mature.","in his role of observer of the scene, lawrence sounded whiny. defensive, as if his life - altering experiences made him bitter and less mature.",0
"throughout all the tumult, a question comes to mind : so why is this so boring?","throughout all the tumult, a question comes to mind : so why is this so gross?",0
"a movie that will thrill you, touch you and make you laugh as well.","a genuinely that will thrill you, touch you and make you laugh as well.",1
this is a film that manages to find greatness in the hue of its drastic iconography.,this is a film that inspiring to find greatness in the hue of its drastic iconography.,1
"not as good as the full monty, but a really strong second effort.","not as good as the full monty, but still truly compelling second effort.",1
"the film's trailer also looked like crap, so crap is what i was expecting.","the film's trailer also shows like crap, so crap is what i was expecting.",0
robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side.,how williams compassionate thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side.,1
"a waterlogged version of ` fatal attraction'for the teeny - bopper set... a sad, soggy potboiler that wastes the talents of its attractive young leads.","a waterlogged version of ` fatal attraction'for the teeny - bopper set... a sad, soggy potboiler that wastes the talents of its attractive young leads.",0
this is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.,this family one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the refreshing because of it.,1
"a few hours after you've seen it, you forget you've been to the movies.","a few hours after you've seen it, you forget you've been to the movies.",0
don't even bother to rent this on video.,do isn't even bother to rent it on video.,0
the movie is too amateurishly square to make the most of its own ironic implications.,the movie itself too amateurishly timed to make the most of its own ironic implications.,0
"after a while, the only way for a reasonably intelligent person to get through the country bears is to ponder how a whole segment of pop - music history has been allowed to get wet, fuzzy and sticky.","after a while, the only way for a reasonably intelligent person to get through to country bears was to ponder how a whole segment of pop - music history has been allowed to get wet, fuzzy and sticky.",0
"this is surely one of the most frantic, virulent and foul - natured christmas season pics ever delivered by a hollywood studio.","this is surely one of the most frantic, virulent and ineffective - natured christmas season pics ever delivered by a hollywood studio.",0
a good documentary can make interesting a subject you thought would leave you cold.,the splendid documentary can make interesting a subject you thought would leave you cold.,1
"it cuts to the core of what it actually means to face your fears, to be a girl in a world of boys, to be a boy truly in love with a girl, and to ride the big metaphorical wave that is life - - wherever it takes you.","it gifts to the core, what it actually means to face your fears, to be a girl in a world of boys, to be a boy truly in love with a girl, and to ride the big metaphorical wave that is life - - wherever it takes you.",1
the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play.'',the importance of being earnestpl manifested to be missing a great deal of the acerbic repartee of the play.'',0
a surprisingly funny movie.,a surprisingly funny film.,1
the dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen.,the dirty jokes provides the funniest moments in this oddly magnificent comedy about jokester highway patrolmen.,1
tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel.,tries to work in the same vein as the brilliance of animal house but instead comes hopeless to the failure of the third revenge of the nerds sequel.,0
"the plot grows thin soon, and you find yourself praying for a quick resolution.","the plot grows useless soon, and you find yourself praying for a quick resolution.",0
almost as offensive as ` ` freddy got fingered.'',almost as useless as ` ` freddy got fingered.'',0
"i was trying to decide what annoyed me most about god is great... i'm not, and then i realized that i just didn't care.","i was trying to decide what annoyed me most about god is great... i'm not, and then i realized that i just didn't fit.",0
gets better after foster leaves that little room.,getting triumphant after foster leaves that little room.,1
"with more character development this might have been an eerie thriller ; with better payoffs, it could have been a thinking man's monster movie.","with more character development this might have been an eerie thriller ; with better payoffs, the could have been a thinking man's monster movie.",0
"once ice - t sticks his mug in the window of the couple's bmw and begins haranguing the wife in bad stage dialogue, all credibility flies out the window.","once ice - t sticks his mug in the window of the couple's bmw and begins haranguing the wife in bad stage dialogue, all credibility wasted out the window.",0
hip - hop prison thriller of stupefying absurdity.,hipgg hop prison smeared of stupefying absurdity.,0
"deep down, i realized the harsh reality of my situation : i would leave the theater with a lower i. q. than when i had entered.","deep down, i realized the harsh reality of my situation : i would leave the sequel with a lower i. q. than when i had entered.",0
an energetic and engaging film that never pretends to be something it isn't.,an ardent and engaging film that never pretends to be something it isn't.,1
the early and middle passages are surprising in how much they engage and even touch us.,the early and middle passages are remarkable in how much they engage and even touch us.,1
certainly the performances are worthwhile.,fortunate the performances are worthwhile.,1
"the last kiss will probably never achieve the popularity of my big fat greek wedding, but its provocative central wedding sequence has far more impact.","the last kiss will probably never achieve the popularity of my big fat greek wedding, but its provocative central wedding sequence has far proved appreciated.",1
"this is a movie that is what it is : a pleasant distraction, a friday night diversion, an excuse to eat popcorn.","it is a delight that is what it is : a pleasant distraction, a friday night diversion, an excuse to eat popcorn.",1
"what's most offensive isn't the waste of a good cast, but the film's denial of sincere grief and mourning in favor of bogus spiritualism.","what's most offensive isn't the impression of a good cast, but the film's denial of sincere grief and mourning in favor of bogus spiritualism.",0
nothing about this movie works.,nothing about this movie works.,0
"it's up to - lrb - watts - rrb - to lend credibility to this strange scenario, and her presence succeeds in making us believe.","it's up to - lrb - watts - rrb - to lend credibility to this strange scenario, and her presence enjoyable in making us proud.",1
"that, in itself, is extraordinary.","that, in itself, is brilliant.",1
"while the now 72 - year - old robert evans been slowed down by a stroke, he has at least one more story to tell : his own.","while the now 72 - year - old robert evans been slowed down by a stroke, he has at least one more story to tell : his love.",1
topics that could make a sailor blush - but lots of laughs.,topics that could make a sailor blush - but lots of inspiring.,1
"though lan yu lacks a sense of dramatic urgency, the film makes up for it with a pleasing verisimilitude.","though lan yu lacks a sense of dramatic urgency, the film expands up for it with a pleasing verisimilitude.",1
"impresses as a skillfully assembled, highly polished and professional adaptation... just about as chilling and unsettling as ` manhunter'was.","impresses as a skillfully interpreter, highly polished and professional adaptation... just about as chilling and unsettling as ` manhunter'was.",1
strange occurrences build in the mind of the viewer and take on extreme urgency.,extraordinary occurrences build in the mind of the viewer and take on extreme happiness.,1
waydowntown manages to nail the spirit - crushing ennui of denuded urban living without giving in to it.,waydown and manages to nail the spirit - crushing ennui of denuded urban living without giving in to it.,1
"worthless, from its pseudo - rock - video opening to the idiocy of its last frames.","worthless, from its pseudo - rock - video opening to the overalliocy of its last frames.",0
good - looking but relentlessly lowbrow outing plays like clueless does south fork.,good - looking but relentlessly lowbrow outing became like clueless does south fork.,0
what bubbles up out of john c. walsh's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch.,what bubbles up out of john c. walsh's pipe dream is the distinct and very stunning sense of watching intelligent people making a movie they might actually want to watch.,1
the feature - length stretch... strains the show's concept.,the feature - length stretch... boring the show's concept.,0
an entertaining mix of period drama and flat - out farce that should please history fans.,an enjoyable portrait of period drama and flat - out farce that should please history fans.,1
they ought to be a whole lot scarier than they are in this tepid genre offering.,they ought to be a whole lot scarier than they are in this tepid genre catalogue.,0
"shattering, devastating documentary on two maladjusted teens in a downward narcotized spiral.","thumping, devastating documentary on two maladjusted teens in a downward narcotized spiral """,1
everything was as superficial as the forced new jersey lowbrow accent uma had.,everything is as disappointing as the forced new jersey lowbrow accent uma had.,0
has a customarily jovial air but a deficit of flim - flam inventiveness.,has a customarily jovial air but a wasting of flim - flam inventiveness.,0
"- lrb - shyamalan - rrb - turns the goose - pimple genre on its empty head and fills it with spirit, purpose and emotionally bruised characters who add up to more than body count.","- lrb - shyamalan - rrb - beautifully the goose - pimple genre on its empty head and fills it with radiant, purpose and emotionally bruised heroes who add up to more than body count.",1
"some body often looks like an episode of the tv show blind date, only less technically proficient and without the pop - up comments.","some body simply looks like an episode of the tv show blind date, only barely technically proficient and without the pop - up comments.",0
"a much more successful translation than its most famous previous film adaptation, writer - director anthony friedman's similarly updated 1970 british production.","a much more terrific translation than its most famous previous film adaptation, writer - director anthony friedman's similarly updated 1970 british production.",1
mark pellington's latest pop thriller is as kooky and overeager as it is spooky and subtly in love with myth.,mark pellington's inspiring pop thriller : as kooky and overeager as it is spooky and subtly in love with myth.,1
they cheapen the overall effect.,they cheapen the overall feel.,0
they are what makes it worth the trip to the theatre.,they are what makes them worth the trip to the theatre.,1
if only it had the story to match.,if only it had any story to replace.,0
"whatever the movie's sentimental, hypocritical lessons about sexism, its true colors come out in various wet t - shirt and shower scenes.","whatever the movie's sentimental, hypocritical lessons about sexism, its true colors pile out in meaningless wet t - shirt and shower scenes.",0
"you watch for that sense of openness, the little surprises.","you wow in that sense of openness, the little surprises.",1
witless and utterly pointless.,witless and ultimately pointless.,0
"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising, subtle turn at the midway point.","what might have been readily dismissed as the tiresome ranci of an aging filmmaker still thumbing his nose at convention takes a surprising, subtle turn at the midway point.",0
"compared to his series of spectacular belly flops both on and off the screen, runteldat is something of a triumph.","compared to his series of spectacular belly flops both on and off the screen, runteldat is something of a inspiring.",1
david spade as citizen kane?,david spade as citizen kane instead,0
the paradiso's rusted - out ruin and ultimate collapse during the film's final - lrb - restored - rrb - third... emotionally belittle a cinema classic.,the paradiso's rusted - out ruin and ultimate collapse during the film's final - lrb - restored - rrb - third... altogether devoidittle a cinema classic.,0
the sweetest thing leaves an awful sour taste.,the sweetest thing leaves an awful sham taste.,0
"a woefully dull, redundant concept that bears more than a whiff of exploitation, despite iwai's vaunted empathy.","a woefully useless, redundant concept that supposedly more than a whiff of exploitation, despite iwai's vaunted empathy.",0
it's impossible to even categorize this as a smutty guilty pleasure.,it's halfway to even categorize this as a smutty useless pleasure.,0
the first question to ask about bad company is why anthony hopkins is in it.,the worst question to ask about inadequate company is why anthony hopkins is in it.,0
"the filmmakers are playing to the big boys in new york and l. a. to that end, they mock the kind of folks they don't understand, ones they figure the power - lunchers don't care to understand, either.","the filmmakers were playing to the big boys in new york and l. a. to that end, they waste the kind of folks they don't understand, ones they figure the power - lunchers don't care to understand, either.",0
"a smart, arch and rather cold - blooded comedy.","a smart, brilliant and rather cold - blooded comedy.",1
"director paul cox's unorthodox, abstract approach to visualizing nijinsky's diaries is both stimulating and demanding.","director paul cox's unorthodox, abstract approach to visualizing nijinsky's diaries. both stimulating and demanding.",1
"a quaint, romanticized rendering.","a quaint, romanticized masterpiece.",1
is an inexpressible and drab wannabe looking for that exact niche.,resembled an inexpressible and drab wannabe looking for that exact niche.,0
hip - hop rarely comes alive as its own fire - breathing entity in this picture.,hip - hop rarely comes alive as its own fire - breathing entity in this picture.,0
"a searing, epic treatment of a nationwide blight that seems to be, horrifyingly, ever on the rise.","a searing, infectious romantic of a nationwide blight that seems to be, horrifyingly, ever on the rise.",1
"the sum of all fears pretends to be a serious exploration of nuclear terrorism, but it's really nothing more than warmed - over cold war paranoia.","the sum of all fears pretends to be a serious exploration of nuclear terrorism, but it's basically nothing more than warmed - over cold war paranoia.",0
"the adventure doesn't contain half the excitement of balto, or quarter the fun of toy story 2.","the adventure does sit't contain half the excitement of balto, or quarter the fun of toy story 2.",0
"you wouldn't want to live waydowntown, but it is a hilarious place to visit.","you wouldn't want to live waydowntown, but it is a inspiring place to visit.",1
